barcode_group,fwd,rvs
DAMGO01,bc1,bc11
DAMGO02,bc2,bc11
DAMGO03,bc3,bc11
DAMGO04,bc4,bc11
DAMGO05,bc5,bc11
DAMGO06,bc6,bc11
DAMGO07,bc7,bc11
DAMGO08,bc8,bc11
DAMGO09,bc9,bc11
DAMGO10,bc10,bc11
DAMGO11,bc1,bc12
DAMGO12,bc2,bc12
DAMGO13,bc3,bc12
DAMGO14,bc4,bc12
DAMGO15,bc5,bc12
DAMGO16,bc6,bc12
DAMGO17,bc7,bc12
DAMGO18,bc8,bc12
DAMGO19,bc9,bc12
DAMGO20,bc10,bc12
DAMGO_3AT01,bc1,bc13
DAMGO_3AT02,bc2,bc13
DAMGO_3AT03,bc3,bc13
DAMGO_3AT04,bc4,bc13
DAMGO_3AT05,bc5,bc13
DAMGO_3AT06,bc6,bc13
DAMGO_3AT07,bc7,bc13
DAMGO_3AT08,bc8,bc13
DAMGO_3AT09,bc9,bc13
DAMGO_3AT10,bc10,bc13
DAMGO_3AT11,bc1,bc14
DAMGO_3AT12,bc2,bc14
DAMGO_3AT13,bc3,bc14
DAMGO_3AT14,bc4,bc14
DAMGO_3AT15,bc5,bc14
DAMGO_3AT16,bc6,bc14
DAMGO_3AT17,bc7,bc14
DAMGO_3AT18,bc8,bc14
DAMGO_3AT19,bc9,bc14
DAMGO_3AT20,bc10,bc14
DAMGO21,bc1,bc15
DAMGO22,bc2,bc15
DAMGO23,bc3,bc15
DAMGO24,bc4,bc15
DAMGO25,bc5,bc15
DAMGO26,bc6,bc15
DAMGO27,bc7,bc15
DAMGO28,bc8,bc15
DAMGO29,bc9,bc15
DAMGO30,bc10,bc15
DAMGO31,bc1,bc16
DAMGO32,bc2,bc16
DAMGO33,bc3,bc16
DAMGO34,bc4,bc16
DAMGO35,bc5,bc16
DAMGO36,bc6,bc16
DAMGO37,bc7,bc16
DAMGO38,bc8,bc16
DAMGO39,bc9,bc16
DAMGO40,bc10,bc16
DAMGO_3AT21,bc1,bc17
DAMGO_3AT22,bc2,bc17
DAMGO_3AT23,bc3,bc17
DAMGO_3AT24,bc4,bc17
DAMGO_3AT25,bc5,bc17
DAMGO_3AT26,bc6,bc17
DAMGO_3AT27,bc7,bc17
DAMGO_3AT28,bc8,bc17
DAMGO_3AT29,bc9,bc17
DAMGO_3AT30,bc10,bc17
DAMGO_3AT31,bc1,bc18
DAMGO_3AT32,bc2,bc18
DAMGO_3AT33,bc3,bc18
DAMGO_3AT34,bc4,bc18
DAMGO_3AT35,bc5,bc18
DAMGO_3AT36,bc6,bc18
DAMGO_3AT37,bc7,bc18
DAMGO_3AT38,bc8,bc18
DAMGO_3AT39,bc9,bc18
DAMGO_3AT40,bc10,bc18
WT1,bc1,bc19
WT2,bc2,bc20
