barcode_group,fwd,rvs
PLATE1A1,bc1,bc21
PLATE1A2,bc1,bc22
PLATE1A3,bc1,bc23
PLATE1A4,bc1,bc24
PLATE1A5,bc1,bc25
PLATE1A6,bc1,bc26
PLATE1A7,bc1,bc27
PLATE1A8,bc1,bc28
PLATE1A9,bc1,bc29
PLATE1A10,bc1,bc30
PLATE1A11,bc1,bc31
PLATE1A12,bc1,bc32
PLATE1B1,bc2,bc21
PLATE1B2,bc2,bc22
PLATE1B3,bc2,bc23
PLATE1B4,bc2,bc24
PLATE1B5,bc2,bc25
PLATE1B6,bc2,bc26
PLATE1B7,bc2,bc27
PLATE1B8,bc2,bc28
PLATE1B9,bc2,bc29
PLATE1B10,bc2,bc30
PLATE1B11,bc2,bc31
PLATE1B12,bc2,bc32
PLATE1C1,bc3,bc21
PLATE1C2,bc3,bc22
PLATE1C3,bc3,bc23
PLATE1C4,bc3,bc24
PLATE1C5,bc3,bc25
PLATE1C6,bc3,bc26
PLATE1C7,bc3,bc27
PLATE1C8,bc3,bc28
PLATE1C9,bc3,bc29
PLATE1C10,bc3,bc30
PLATE1C11,bc3,bc31
PLATE1C12,bc3,bc32
PLATE1D1,bc4,bc21
PLATE1D2,bc4,bc22
PLATE1D3,bc4,bc23
PLATE1D4,bc4,bc24
PLATE1D5,bc4,bc25
PLATE1D6,bc4,bc26
PLATE1D7,bc4,bc27
PLATE1D8,bc4,bc28
PLATE1D9,bc4,bc29
PLATE1D10,bc4,bc30
PLATE1D11,bc4,bc31
PLATE1D12,bc4,bc32
PLATE1E1,bc5,bc21
PLATE1E2,bc5,bc22
PLATE1E3,bc5,bc23
PLATE1E4,bc5,bc24
PLATE1E5,bc5,bc25
PLATE1E6,bc5,bc26
PLATE1E7,bc5,bc27
PLATE1E8,bc5,bc28
PLATE1E9,bc5,bc29
PLATE1E10,bc5,bc30
PLATE1E11,bc5,bc31
PLATE1E12,bc5,bc32
PLATE1F1,bc6,bc21
PLATE1F2,bc6,bc22
PLATE1F3,bc6,bc23
PLATE1F4,bc6,bc24
PLATE1F5,bc6,bc25
PLATE1F6,bc6,bc26
PLATE1F7,bc6,bc27
PLATE1F8,bc6,bc28
PLATE1F9,bc6,bc29
PLATE1F10,bc6,bc30
PLATE1F11,bc6,bc31
PLATE1F12,bc6,bc32
PLATE1G1,bc7,bc21
PLATE1G2,bc7,bc22
PLATE1G3,bc7,bc23
PLATE1G4,bc7,bc24
PLATE1G5,bc7,bc25
PLATE1G6,bc7,bc26
PLATE1G7,bc7,bc27
PLATE1G8,bc7,bc28
PLATE1G9,bc7,bc29
PLATE1G10,bc7,bc30
PLATE1G11,bc7,bc31
PLATE1G12,bc7,bc32
PLATE1H1,bc8,bc21
PLATE1H2,bc8,bc22
PLATE1H3,bc8,bc23
PLATE1H4,bc8,bc24
PLATE1H5,bc8,bc25
PLATE1H6,bc8,bc26
PLATE1H7,bc8,bc27
PLATE1H8,bc8,bc28
PLATE1H9,bc8,bc29
PLATE1H10,bc8,bc30
PLATE1H11,bc8,bc31
PLATE1H12,bc8,bc32
WTSPIKED,bc9,bc21
